2026-02-04 01:05:15,759 | INFO | __main__ | ==================================================
2026-02-04 01:05:15,760 | INFO | __main__ | INICIANDO TEST DEL FLUJO
2026-02-04 01:05:15,760 | INFO | __main__ | ==================================================
2026-02-04 01:05:15,760 | INFO | __main__ | PASO 1: Extrayendo PDFs...
2026-02-04 01:05:15,760 | INFO | src.pipeline.scraper | Iniciando extracción de 2 fuentes
2026-02-04 01:05:46,584 | ERROR | src.pipeline.scraper | Error procesando https://www.rfebm.com/competiciones/reglas-de-juego: HTTPSConnectionPool(host='resultadosbalonmano.isquad.es', port=443): Read timed out. (read timeout=30)
2026-02-04 01:05:46,684 | ERROR | src.pipeline.scraper | Error procesando https://www.fabm.es/reglamentos: HTTPSConnectionPool(host='www.fabm.es', port=443): Max retries exceeded with url: /reglamentos (Caused by NameResolutionError("HTTPSConnection(host='www.fabm.es', port=443): Failed to resolve 'www.fabm.es' ([Errno 11001] getaddrinfo failed)"))
2026-02-04 01:05:46,685 | INFO | src.pipeline.scraper | Total PDFs extraídos: 0
2026-02-04 01:05:46,685 | ERROR | __main__ | No se encontraron PDFs
2026-02-04 01:09:41,873 | INFO | __main__ | ==================================================
2026-02-04 01:09:41,873 | INFO | __main__ | INICIANDO TEST DEL FLUJO
2026-02-04 01:09:41,873 | INFO | __main__ | ==================================================
2026-02-04 01:09:41,873 | INFO | __main__ | PASO 1: Extrayendo PDFs...
2026-02-04 01:09:41,874 | INFO | src.pipeline.scraper | Iniciando extracción de 2 fuentes
2026-02-04 01:09:43,261 | INFO | src.pipeline.scraper | RFEBM - Normativa y Reglamentos: 11 PDFs encontrados
2026-02-04 01:09:47,034 | INFO | src.pipeline.scraper | FABM - Reglamentos: 4 PDFs encontrados
2026-02-04 01:09:47,034 | INFO | src.pipeline.scraper | Total PDFs extraídos: 15
2026-02-04 01:09:47,036 | INFO | __main__ | PASO 2: Filtrando PDFs...
2026-02-04 01:09:47,036 | INFO | src.pipeline.scraper | PDFs filtrados: 9 de 15 (patrones: ['reglas', 'reglamento', 'disciplina', 'rgc'])
2026-02-04 01:09:47,036 | INFO | __main__ | PASO 3: Cargando metadatos existentes...
2026-02-04 01:14:42,511 | INFO | __main__ | ==================================================
2026-02-04 01:14:42,512 | INFO | __main__ | INICIANDO TEST DEL FLUJO
2026-02-04 01:14:42,512 | INFO | __main__ | ==================================================
2026-02-04 01:14:42,512 | INFO | __main__ | PASO 1: Extrayendo PDFs...
2026-02-04 01:14:42,512 | INFO | src.pipeline.scraper | Iniciando extracción de 2 fuentes
2026-02-04 01:14:43,052 | INFO | src.pipeline.scraper | RFEBM - Normativa y Reglamentos: 11 PDFs encontrados
2026-02-04 01:14:43,687 | INFO | src.pipeline.scraper | FABM - Reglamentos: 4 PDFs encontrados
2026-02-04 01:14:43,687 | INFO | src.pipeline.scraper | Total PDFs extraídos: 15
2026-02-04 01:14:43,689 | INFO | __main__ | PASO 2: Filtrando PDFs...
